year,equityGrowth,dividendYield,equityReturn,fixedIncomeReturn,inflationIndex
2012,0.1382613910716759,0.020557494861267026,0.1588188859329429,0.0197,226.665
2013,0.23099162388543615,0.021302801044762676,0.2522944249301988,0.0191,230.28
2014,0.11294146052371667,0.019427189651514156,0.13236865017523083,0.0286,233.916
2015,-0.054028735122129246,0.019671166595995753,-0.03435756852613349,0.018799999999999997,233.707
2016,0.18582299593453566,0.022700580284235033,0.20852357621877068,0.0209,236.916
2017,0.22622103449488384,0.02018648100613008,0.24640751550101392,0.024300000000000002,242.839
2018,-0.06538461538461549,0.017666738356393527,-0.04771787702822196,0.0258,247.867
2019,0.25727369405530354,0.020766615913486924,0.2780403099687905,0.0271,251.712
2020,0.1572646923867005,0.01790214651733776,0.17516683890403825,0.0176,257.971
2021,0.20561908497109216,0.01530509845884747,0.22092418342993964,0.0108,261.582
2022,-0.13405853384335242,0.01331960219273237,-0.12073893165062005,0.0176,281.148
2023,0.21586255032302804,0.017004756660922247,0.23286730698395028,0.0353,299.17
2024,0.24169329351840285,0.014635185560818083,0.25632847907922096,0.0406,308.417
2025,0.15880994037058693,0.012587965818443752,0.1713979061890307,0.0463,317.671
